,month,day,period,latitude,longitude,runup_ht,runup_ht_r,runup_hori,dist_from_,hour,cause_code,event_vali,eq_mag_unk,eq_mag_mb,eq_mag_ms,eq_mag_mw,eq_mag_mfa,eq_magnitu,eq_magni_1,eq_depth,max_event_,ts_mt_ii,ts_intensi,num_runup,num_slides,map_slide_,map_eq_id,human_damages,country_bangladesh,country_canada,country_chile,country_china,country_colombia,country_costa rica,country_dominican republic,country_ecuador,country_egypt,country_el salvador,country_fiji,country_france,country_french polynesia,country_greece,country_haiti,country_india,country_indonesia,country_italy,country_jamaica,country_japan,country_kenya,country_madagascar,country_malaysia,country_maldives,country_mexico,country_micronesia,country_myanmar,country_new caledonia,country_new zealand,country_nicaragua,country_norway,country_pakistan,country_panama,country_papua new guinea,country_peru,country_philippines,country_portugal,country_russia,country_samoa,country_solomon islands,country_somalia,country_south korea,country_spain,country_sri lanka,country_taiwan,country_tanzania,country_tonga,country_turkey,country_united kingdom,country_united states,country_vanuatu,country_venezuela,country_yemen
210,7,9,0.0,36.9,26.0,0.0,0,0.0,0,3,1,4,0.0,0.0,7.8,0.0,0,7.8,7,20,30.0,5.0,5.0,132,0,0,4100,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
447,8,15,0.0,-13.89406,-76.31486,5.27,4,70.2,65,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
371,2,17,0.0,-1.75,138.25,7.0,4,0.0,173,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
442,2,11,0.0,-14.18,-169.66,2.4,3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
368,12,12,0.0,-8.111278,122.795639,12.25,5,0.0,107,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
855,3,28,0.0,57.717,-152.517,6.1,4,0.0,459,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
852,11,4,0.0,52.966,158.8167,5.0,4,0.0,87,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
440,11,20,0.0,-6.927,-79.866,9.0,4,0.0,93,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
863,2,3,0.0,54.0,161.0,0.0,0,0.0,0,16,1,4,0.0,0.0,8.3,8.3,0,8.3,8,19,8.0,3.0,0.0,36,0,0,3212,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
358,10,31,0.0,-4.907,145.471,0.0,0,0.0,0,17,3,4,0.0,7.1,7.3,0.0,0,7.3,7,8,3.0,0.3,0.5,3,0,0,4550,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
862,10,16,0.0,51.1,158.0,0.0,0,0.0,0,16,1,4,0.0,0.0,0.0,0.0,0,0.0,0,0,64.0,4.5,4.0,7,0,0,6001,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
857,3,28,0.0,56.83,-153.83,4.87,3,0.0,585,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
292,8,19,0.0,39.35,-74.417,3.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
239,9,2,0.0,11.982917,-86.658717,9.09,4,0.0,79,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
